*********************************************************
总结点个数:4546
总边数12319
*********************************************************
编号	节点	度
2634	YNL037c	2
2635	YNL072w	2
2636	YNL056w	2
2637	YMR317w	2
2638	YNL096c	2
2639	YPR133w-a	2
2640	YPL079w	2
2641	YOL034w	2
2642	YPL029w	2
2643	YOR154w	2
2644	YNL335w	2
2645	YOR344c	2
2646	YOR064c	2
2647	YDR366c	2
2648	YNL204c	2
2649	YPR088c	2
2650	YOR102w	2
2651	YML075c	2
2652	YFL049w	2
2653	YPL154c	2
2654	YNR009w	2
2655	YNL323w	2
2656	YNL028w	2
2657	YMR127c	2
2658	YOR096w	2
2659	YOR053w	2
2660	YIR024c	2
2661	YOL027c	2
2662	YLR393w	2
2663	YLR390w-a	2
2664	YMR228w	2
2665	YPL261c	2
2666	YPL041c	2
2667	YDR379w	2
2668	YLR312c	2
2669	YNL194c	2
2670	YLR455w	2
2671	YOL104c	2
2672	YOR104w	2
2673	YLR273c	2
2674	YLR227c	2
2675	YLR221c	2
2676	YNL024c	2
2677	YLR211c	2
2678	YLR203c	2
2679	YOR296w	2
2680	YNL003c	2
2681	YML035c	2
2682	YLR144c	2
2683	YLR168c	2
2684	YLR159w	2
2685	YLR157c	2
2686	YNR072w	2
2687	YLR141w	2
2688	YPL257w-a	2
2689	YPL082c	2
2690	YPL182c	2
2691	YLR080w	2
2692	YLR119w	2
2693	YLR434c	2
2694	YER056c-a	2
2695	YPR079w	2
2696	YPL037c	2
2697	YOL017w	2
2698	YMR216c	2
2699	YER159c	2
2700	YMR093w	2
2701	YLR361c	2
2702	YML125c	2
2703	YLR021w	2
2704	YDR404c	2
2705	YDR412w	2
2706	YDR413c	2
2707	YLR011w	2
2708	YLL040c	2
2709	YLL038c	2
2710	YPR101w	2
2711	YLL012w	2
2712	YKL095w	2
2713	YMR213w	2
2714	YNL309w	2
2715	YKR091w	2
2716	YOL023w	2
2717	YKR074w	2
2718	YOR375c	2
2719	YKR065c	2
2720	YLR081w	2
2721	YJR110w	2
2722	YPL280w	2
2723	YKL221w	2
2724	YOL078w	2
2725	YDR428c	2
2726	YOR332w	2
2727	YPL036w	2
2728	YNL178w	2
2729	YMR243c	2
2730	YPL259c	2
2731	YDR433w	2
2732	YOL073c	2
2733	YKL152c	2
2734	YKL088w	2
2735	YDR435c	2
2736	YML046w	2
2737	YLR357w	2
2738	YDR443c	2
2739	YPL130w	2
2740	YDR445c	2
2741	YDR446w	2
2742	YMR090w	2
2743	YKL029c	2
2744	YKL017c	2
2745	YLL046c	2
2746	YKL001c	2
2747	YLR246w	2
2748	YJR146w	2
2749	YJR136c	2
2750	YJR099w	2
2751	YDR464w	2
2752	YJR021c	2
2753	YPR047w	2
2754	YPL270w	2
2755	YPL219w	2
2756	YER040w	2
2757	YGL208w	2
2758	YPL159c	2
2759	YOR379c	2
2760	YOL072w	2
2761	YNL285w	2
2762	YHR039c	2
2763	YNL230c	2
2764	YGL028c	2
2765	YMR287c	2
2766	YLR397c	2
2767	YGR245c	2
2768	YLR392c	2
2769	YLR236c	2
2770	YIL135c	2
2771	YLR104w	2
2772	YJL072c	2
2773	YML034w	2
2774	YLL030c	2
2775	YKL224c	2
2776	YHR207c	2
2777	YKL146w	2
2778	YKL117w	2
2779	YJR119c	2
2780	YJR084w	2
2781	YDR492w	2
2782	YJR067c	2
2783	YOR185c	2
2784	YJR074w	2
2785	YPL276w	2
2786	YMR269w	2
2787	YKL049c	2
2788	YJR058c	2
2789	YNL241c	2
2790	YKL114c	2
2791	YJR038c	2
2792	YJR034w	2
2793	YDR502c	2
2794	YPL125w	2
2795	YJR025c	2
2796	YOL031c	2
2797	YLR430w	2
2798	YLR143w	2
2799	YKR104w	2
2800	YDR512c	2
2801	YJR019c	2
2802	YNL173c	2
2803	YDR515w	2
2804	YGR169c	2
2805	YJR017c	2
2806	YDR524c	2
2807	YJL215c	2
2808	YKR090w	2
2809	YLR198c	2
2810	YMR204c	2
2811	YDR529c	2
2812	YPR014c	2
2813	YLR226w	2
2814	YJL158c	2
2815	YJL141c	2
2816	YMR212c	2
2817	YJL136c	2
2818	YDR534c	2
2819	YLR003c	2
2820	YJL106w	2
2821	YNL262w	2
2822	YJL067w	2
2823	YOR187w	2
2824	YNR029c	2
2825	YJL044c	2
2826	YNL234w	2
2827	YML048w	2
2828	YIR037w	2
2829	YJR129c	2
2830	YKL020c	2
2831	YIR033w	2
2832	YLR437c	2
2833	YIR012w	2
2834	YLR202c	2
2835	YOL101c	2
2836	YIL174w	2
2837	YLL017w	2
2838	YIL153w	2
2839	YIL143c	2
2840	YIL130w	2
2841	YPL224c	2
2842	YIL124w	2
2843	YIL117c	2
2844	YOR032c	2
2845	YNL161w	2
2846	YNL326c	2
2847	YKL191w	2
2848	YHR145c	2
2849	YIL097w	2
2850	YIL072w	2
2851	YEL012w	2
2852	YHR195w	2
2853	YML054c	2
2854	YIL065c	2
2855	YIL062c	2
2856	YEL016c	2
2857	YLR213c	2
2858	YIL060w	2
2859	YGR121c	2
2860	YKL063c	2
2861	YPL244c	2
2862	YKL166c	2
2863	YJL164c	2
2864	YMR313c	2
2865	YIL005w	2
2866	YLR088w	2
2867	YJR031c	2
2868	YEL033w	2
2869	YHR214w	2
2870	YKR019c	2
2871	YHR212c	2
2872	YER012w	2
2873	YHR211w	2
2874	YHR209w	2
2875	YLR441c	2
2876	YMR276w	2
2877	YEL038w	2
2878	YHR198c	2
2879	YNL175c	2
2880	YJR049c	2
2881	YPR053c	2
2882	YLR075w	2
2883	YLR451w	2
2884	YJR010w	2
2885	YPR118w	2
2886	YEL046c	2
2887	YLR016c	2
2888	YHR143w-a	2
2889	YHR136c	2
2890	YEL049w	2
2891	YEL051w	2
2892	YHR132c	2
2893	YPR094w	2
2894	YNR035c	2
2895	YPL001w	2
2896	YLR461w	2
2897	YLR136c	2
2898	YJL180c	2
2899	YHR133c	2
2900	YPR145w	2
2901	YHR112c	2
2902	YOL088c	2
2903	YLR454w	2
2904	YHR090c	2
2905	YHR079c-a	2
2906	YKL073w	2
2907	YOR138c	2
2908	YHR068w	2
2909	YHR063c	2
2910	YPL019c	2
2911	YOR270c	2
2912	YIR034c	2
2913	YLL018c	2
2914	YHR050w	2
2915	YPL112c	2
2916	YLR225c	2
2917	YOR073w	2
2918	YEL070w	2
2919	YHR040w	2
2920	YLL013c	2
2921	YIL113w	2
2922	YOR374w	2
2923	YHR025w	2
2924	YFR053c	2
2925	YER002w	2
2926	YER004w	2
2927	YHR052w	2
2928	YPR188c	2
2929	YHR009c	2
2930	YHR045w	2
2931	YOL099c	2
2932	YNL061w	2
2933	YHL049c	2
2934	YHL043w	2
2935	YJL056c	2
2936	YHL026c	2
2937	YHL025w	2
2938	YHL015w	2
2939	YER010c	2
2940	YHL009c	2
2941	YNL239w	2
2942	YER014c-a	2
2943	YNL015w	2
2944	YGR285c	2
2945	YNR015w	2
2946	YGR275w	2
2947	YMR223w	2
2948	YER104w	2
2949	YPR065w	2
2950	YOR371c	2
2951	YGR236c	2
2952	YML117w	2
2953	YJL188c	2
2954	YNL164c	2
2955	YJR134c	2
2956	YGR217w	2
2957	YGR213c	2
2958	YGR253c	2
2959	YLR283w	2
2960	YPL066w	2
2961	YJL026w	2
2962	YJL035c	2
2963	YHR121w	2
2964	YGR163w	2
2965	YGR153w	2
2966	YGR149w	2
2967	YGR142w	2
2968	YGR122w	2
2969	YPR083w	2
2970	YLR329w	2
2971	YMR042w	2
2972	YOR272w	2
2973	YMR087w	2
2974	YOL077c	2
2975	YNL110c	2
2976	YLL008w	2
2977	YKL172w	2
2978	YMR293c	2
2979	YHR088w	2
2980	YGR101w	2
2981	YNL159c	2
2982	YNL210w	2
2983	YKL116c	2
2984	YPR030w	2
2985	YKL188c	2
2986	YML119w	2
2987	YGR073c	2
2988	YNR001c	2
2989	YPL128c	2
2990	YHR109w	2
2991	YOR100c	2
2992	YOL042w	2
2993	YPL060w	2
2994	YGR052w	2
2995	YLR257w	2
2996	YOR271c	2
2997	YGR032w	2
2998	YKL090w	2
2999	YOR388c	2
3000	YPL053c	2
3001	YPL098c	2
3002	YLR460c	2
3003	YGR019w	2
3004	YLR403w	2
3005	YNL187w	2
3006	YGR017w	2
3007	YGR013w	2
3008	YNL146w	2
3009	YGR005c	2
3010	YJR020w	2
3011	YGL259w	2
3012	YKL098w	2
3013	YHL020c	2
3014	YPL179w	2
3015	YGL234w	2
3016	YOR062c	2
3017	YGL222c	2
3018	YGL221c	2
3019	YMR053c	2
3020	YHR164c	2
3021	YGR247w	2
3022	YLR170c	2
3023	YGL204c	2
3024	YML012w	2
3025	YGL196w	2
3026	YOR331c	2
3027	YIL057c	2
3028	YIL010w	2
3029	YIR014w	2
3030	YGL180w	2
3031	YER053c	2
3032	YLR326w	2
3033	YPR189w	2
3034	YML006c	2
3035	YGL156w	2
3036	YGL152c	2
3037	YOR392w	2
3038	YGL148w	2
3039	YGL147c	2
3040	YER062c	2
3041	YPL201c	2
3042	YOR333c	2
3043	YPL172c	2
3044	YOR377w	2
3045	YOR289w	2
3046	YNR010w	2
3047	YGL062w	2
3048	YML133c	2
3049	YLR019w	2
3050	YGL111w	2
3051	YHR019c	2
3052	YHR194w	2
3053	YOR364w	2
3054	YPL257w	2
3055	YGL094c	2
3056	YMR264w	2
3057	YKL150w	2
3058	YER077c	2
3059	YKL086w	2
3060	YOL107w	2
3061	YPL248c	2
3062	YGL045w	2
3063	YJR113c	2
3064	YJR030c	2
3065	YGL030w	2
3066	YMR023c	2
3067	YLR133w	2
3068	YGL018c	2
3069	YGR084c	2
3070	YGR210c	2
3071	YGL015c	2
3072	YGL014w	2
3073	YGL010w	2
3074	YNR025c	2
3075	YFR042w	2
3076	YML127w	2
3077	YNR042w	2
3078	YFR031c-a	2
3079	YOR189w	2
3080	YMR029c	2
3081	YIR011c	2
3082	YFL068w	2
3083	YOR263c	2
3084	YOR300w	2
3085	YFL056c	2
3086	YFL052w	2
3087	YFL051c	2
3088	YOL152w	2
3089	YFL045c	2
3090	YHR179w	2
3091	YOL036w	2
3092	YIR016w	2
3093	YFL030w	2
3094	YGR141w	2
3095	YFL025c	2
3096	YLR068w	2
3097	YJL135w	2
3098	YFL020c	2
3099	YKL189w	2
3100	YFL012w	2
3101	YER087c-a	2
3102	YJL091c	2
3103	YER180c	2
3104	YNR016c	2
3105	YLR044c	2
3106	YMR233w	2
3107	YGR085c	2
3108	YLR158c	2
3109	YER172c	2
3110	YJL189w	2
3111	YIR001c	2
3112	YPR158w-a	2
3113	YJR077c	2
3114	YKL120w	2
3115	YOR121c	2
3116	YJL170c	2
3117	YHL008c	2
3118	YER153c	2
3119	YJL107c	2
3120	YFL066c	2
3121	YLR420w	2
3122	YKL209c	2
3123	YLL032c	2
3124	YER129w	2
3125	YER120w	2
3126	YOR219c	1
3127	YJL146w	1
3128	YER117w	1
3129	YLR096w	1
3130	YNL139c	1
3131	YDR180w	1
3132	YKL055c	1
3133	YKL155c	1
3134	YER121w	1
3135	YER176w	1
3136	YDL037c	1
3137	YDL036c	1
3138	YOR340c	1
3139	YOR385w	1
3140	YDL031w	1
3141	YER128w	1
3142	YLL014w	1
3143	YNL286w	1
3144	YER131w	1
3145	YHR100c	1
3146	YMR005w	1
3147	YER137c	1
3148	YDR421w	1
3149	YDL026w	1
3150	YIL056w	1
3151	YDL024c	1
3152	YIL029c	1
3153	YDL023c	1
3154	YOR201c	1
3155	YPL090c	1
3156	YMR100w	1
3157	YER147c	1
3158	YGL241w	1
3159	YKL039w	1
3160	YPL007c	1
3161	YJL088w	1
3162	YKL034w	1
3163	YER152c	1
3164	YER075c	1
3165	YER109c	1
3166	YFR057w	1
3167	YGR170w	1
3168	YIL172c	1
3169	YPR001w	1
3170	YGL065c	1
3171	YER159c-a	1
3172	YHR203c	1
3173	YLR167w	1
3174	YER163c	1
3175	YIL123w	1
3176	YLR282c	1
3177	YMR230w	1
3178	YHR032w	1
3179	YER169w	1
3180	YPL071c	1
3181	YER170w	1
3182	YPR011c	1
3183	YDR151c	1
3184	YER175c	1
3185	YPL238c	1
3186	YMR079w	1
3187	YKL124w	1
3188	YMR289w	1
3189	YCR101c	1
3190	YOR311c	1
3191	YCR100c	1
3192	YPL027w	1
3193	YER090w	1
3194	YER088c	1
3195	YGL026c	1
3196	YER180c-a	1
3197	YER181c	1
3198	YER184c	1
3199	YER186c	1
3200	YER188w	1
3201	YFL002c	1
3202	YCR089w	1
3203	YKL077w	1
3204	YER106w	1
3205	YMR277w	1
3206	YCR079w	1
3207	YNR027w	1
3208	YMR288w	1
3209	YFL011w	1
3210	YOR383c	1
3211	YDR141c	1
3212	YCR075c	1
3213	YNR034w	1
3214	YDL050c	1
3215	YCR068w	1
3216	YJR051w	1
3217	YDL051w	1
3218	YCR063w	1
3219	YGL011c	1
3220	YDL056w	1
3221	YCR060w	1
3222	YPR149w	1
3223	YJL160c	1
3224	YPR134w	1
3225	YKL195w	1
3226	YFL028c	1
3227	YPR059c	1
3228	YIL077c	1
3229	YDR400w	1
3230	YPR038w	1
3231	YDL061c	1
3232	YGR154c	1
3233	YCR053w	1
3234	YCR050c	1
3235	YPL233w	1
3236	YIL138c	1
3237	YCR045c	1
3238	YCR042c	1
3239	YLR349w	1
3240	YCR036w	1
3241	YMR303c	1
3242	YFL044c	1
3243	YDR381w	1
3244	YLR343w	1
3245	YGR242w	1
3246	YFL050c	1
3247	YOR387c	1
3248	YKL026c	1
3249	YNL316c	1
3250	YMR155w	1
3251	YOR366w	1
3252	YFL054c	1
3253	YFL055w	1
3254	YOR318c	1
3255	YMR132c	1
3256	YDR158w	1
3257	YCR028c-a	1
3258	YCR028c	1
3259	YCR027c	1
3260	YCR023c	1
3261	YFL061w	1
3262	YFL065c	1
3263	YLR415c	1
3264	YFL067w	1
3265	YCR022c	1
3266	YOR258w	1
3267	YFR001w	1
3268	YJL068c	1
3269	YCR018c	1
3270	YDL231c	1
3271	YIL064w	1
3272	YOL085c	1
3273	YCR011c	1
3274	YOR246c	1
3275	YOR261c	1
3276	YCR008w	1
3277	YLR395c	1
3278	YOR222w	1
3279	YFR009w	1
3280	YGL195w	1
3281	YFR011c	1
3282	YLR253w	1
3283	YFR013w	1
3284	YIR039c	1
3285	YFR016c	1
3286	YCR003w	1
3287	YJL212c	1
3288	YFR018c	1
3289	YFR022w	1
3290	YFR026c	1
3291	YFR027w	1
3292	YJL156c	1
3293	YOR241w	1
3294	YOR150w	1
3295	YFR032c-a	1
3296	YFR033c	1
3297	YCR001w	1
3298	YCL076w	1
3299	YDL066w	1
3300	YMR091c	1
3301	YFR039c	1
3302	YDL067c	1
3303	YKR073c	1
3304	YCL074w	1
3305	YOL062c	1
3306	YCL069w	1
3307	YGL001c	1
3308	YCL065w	1
3309	YDL069c	1
3310	YIL044c	1
3311	YJL043w	1
3312	YGR293c	1
3313	YER150w	1
3314	YPL126w	1
3315	YCL059c	1
3316	YNL100w	1
3317	YDL157c	1
3318	YGL021w	1
3319	YDL075w	1
3320	YDL076c	1
3321	YGL024w	1
3322	YGL036w	1
3323	YMR214w	1
3324	YGL029w	1
3325	YDL086w	1
3326	YGL032c	1
3327	YGR257c	1
3328	YGL183c	1
3329	YPL025c	1
3330	YCL052c	1
3331	YGL038c	1
3332	YCL050c	1
3333	YGL042c	1
3334	YGL039w	1
3335	YCL049c	1
3336	YCL045c	1
3337	YDL090c	1
3338	YCL044c	1
3339	YDL091c	1
3340	YGL047w	1
3341	YDL092w	1
3342	YLR354c	1
3343	YJL134w	1
3344	YGR091w	1
3345	YER189w	1
3346	YOR307c	1
3347	YDR518w	1
3348	YOL080c	1
3349	YCL039w	1
3350	YGL069c	1
3351	YJL182c	1
3352	YJR162c	1
3353	YCL035c	1
3354	YKL122c	1
3355	YER076c	1
3356	YCL034w	1
3357	YGL083w	1
3358	YDL093w	1
3359	YLR308w	1
3360	YOR005c	1
3361	YHR036w	1
3362	YGL093w	1
3363	YER074w-a	1
3364	YCL033c	1
3365	YPR076w	1
3366	YKL156w	1
3367	YGL055w	1
3368	YGL102c	1
3369	YDL094c	1
3370	YHR021c	1
3371	YCL030c	1
3372	YGR264c	1
3373	YCL028w	1
3374	YLR214w	1
3375	YGL107c	1
3376	YER069w	1
3377	YKR023w	1
3378	YKL105c	1
3379	YGL113w	1
3380	YPR194c	1
3381	YML110c	1
3382	YMR291w	1
3383	YGL119w	1
3384	YCL024w	1
3385	YGL126w	1
3386	YMR179w	1
3387	YLR123c	1
3388	YJR092w	1
3389	YIL031w	1
3390	YJL032w	1
3391	YCL008c	1
3392	YHR147c	1
3393	YCL007c	1
3394	YDL097c	1
3395	YPR125w	1
3396	YCL005w	1
3397	YOR162c	1
3398	YDR304c	1
3399	YDR431w	1
3400	YPL064c	1
3401	YPR063c	1
3402	YPL228w	1
3403	YOR054c	1
3404	YPL220w	1
3405	YGL138c	1
3406	YGL139w	1
3407	YML089c	1
3408	YDR513w	1
3409	YER061c	1
3410	YLR137w	1
3411	YBR293w	1
3412	YOL126c	1
3413	YBR291c	1
3414	YDR495c	1
3415	YDL238c	1
3416	YBR282w	1
3417	YGL155w	1
3418	YOL159c	1
3419	YNR064c	1
3420	YGL158w	1
3421	YBR279w	1
3422	YLL028w	1
3423	YER058w	1
3424	YLR181c	1
3425	YMR229c	1
3426	YIL006w	1
3427	YER057c	1
3428	YBR276c	1
3429	YGL177w	1
3430	YKR079c	1
3431	YBR273c	1
3432	YMR310c	1
3433	YPL252c	1
3434	YIL122w	1
3435	YBR269c	1
3436	YDL104c	1
3437	YPR031w	1
3438	YPL156c	1
3439	YPL188w	1
3440	YGL184c	1
3441	YBR266c	1
3442	YLL027w	1
3443	YLR255c	1
3444	YGR271w	1
3445	YGL197w	1
3446	YMR215w	1
3447	YBR263w	1
3448	YDL105w	1
3449	YGL202w	1
3450	YGL203c	1
3451	YDL107w	1
3452	YMR209c	1
3453	YBR262c	1
3454	YDL112w	1
3455	YDL123w	1
3456	YBR261c	1
3457	YLR040c	1
3458	YHL022c	1
3459	YGL214w	1
3460	YBR253w	1
3461	YGL219c	1
3462	YGL179c	1
3463	YHR033w	1
3464	YOR050c	1
3465	YBR248c	1
3466	YGL226w	1
3467	YGL227w	1
3468	YJL178c	1
3469	YJL211c	1
3470	YDL125c	1
3471	YOR161c	1
3472	YDL190c	1
3473	YOR298w	1
3474	YGL235w	1
3475	YLR407w	1
3476	YER037w	1
3477	YBR246w	1
3478	YBR244w	1
3479	YNL142w	1
3480	YDL128w	1
3481	YBR243c	1
3482	YBR242w	1
3483	YGL255w	1
3484	YGL256w	1
3485	YLR146c	1
3486	YGL258w	1
3487	YKL102c	1
3488	YJR012c	1
3489	YGR003w	1
3490	YBR241c	1
3491	YDL131w	1
3492	YBR240c	1
3493	YKR043c	1
3494	YBR238c	1
3495	YGL210w	1
3496	YBR235w	1
3497	YGR016w	1
3498	YLR427w	1
3499	YLR220w	1
3500	YOL142w	1
3501	YGR023w	1
3502	YML010w	1
3503	YNR030w	1
3504	YIL082w	1
3505	YOR336w	1
3506	YPL110c	1
3507	YGR026w	1
3508	YGR031w	1
3509	YDL142c	1
3510	YDR506c	1
3511	YBR226c	1
3512	YOR031w	1
3513	YOR118w	1
3514	YGR041w	1
3515	YPL251w	1
3516	YGR042w	1
3517	YGR045c	1
3518	YOR143c	1
3519	YGR046w	1
3520	YOR072w	1
3521	YBR223c	1
3522	YLR218c	1
3523	YGR278w	1
3524	YDL144c	1
3525	YBR220c	1
3526	YDL145c	1
3527	YGR053c	1
3528	YOL022c	1
3529	YBR219c	1
3530	YJL202c	1
3531	YGR061c	1
3532	YGR065c	1
3533	YBR214w	1
3534	YKL070w	1
3535	YNR024w	1
3536	YBR213w	1
3537	YKL149c	1
3538	YDR341c	1
3539	YDL148c	1
3540	YBR212w	1
3541	YDL149w	1
3542	YPL096w	1
3543	YBR204c	1
3544	YBR203w	1
3545	YOR313c	1
3546	YBR190w	1
3547	YNL225c	1
3548	YNL081c	1
3549	YGR081c	1
3550	YBR182c	1
3551	YBR181c	1
3552	YBR180w	1
3553	YGR083c	1
3554	YGR251w	1
3555	YGR087c	1
3556	YDL150w	1
3557	YGR088w	1
3558	YHL010c	1
3559	YBR179c	1
3560	YNL211c	1
3561	YGR100w	1
3562	YNL073w	1
3563	YJL213w	1
3564	YKR025w	1
3565	YMR244w	1
3566	YGL120c	1
3567	YBR178w	1
3568	YMR118c	1
3569	YMR114c	1
3570	YMR058w	1
3571	YGR110w	1
3572	YCL057w	1
3573	YBR169c	1
3574	YJL175w	1
3575	YBR168w	1
3576	YGR115c	1
3577	YKL180w	1
3578	YML082w	1
3579	YBR165w	1
3580	YLR331c	1
3581	YNL043c	1
3582	YGR126w	1
3583	YIL027c	1
3584	YMR265c	1
3585	YOL118c	1
3586	YOL028c	1
3587	YNL217w	1
3588	YGR148c	1
3589	YFL003c	1
3590	YNL219c	1
3591	YDL158c	1
3592	YGR156w	1
3593	YNL053w	1
3594	YGR161c	1
3595	YKR093w	1
3596	YBR161w	1
3597	YPL265w	1
3598	YOR142w	1
3599	YGR168c	1
3600	YGR177c	1
3601	YMR319c	1
3602	YGR174c	1
3603	YDL168w	1
3604	YKL051w	1
3605	YNR073c	1
3606	YJL142c	1
3607	YGR185c	1
3608	YGR109c	1
3609	YIL078w	1
3610	YGL073w	1
3611	YGR193c	1
3612	YHR116w	1
3613	YGR204w	1
3614	YDR111c	1
3615	YBR158w	1
3616	YBR157c	1
3617	YDL180w	1
3618	YGR215w	1
3619	YDL183c	1
3620	YGR243w	1
3621	YLR436c	1
3622	YML120c	1
3623	YGR090w	1
3624	YBR156c	1
3625	YDR463w	1
3626	YPL056c	1
3627	YNR045w	1
3628	YGR223c	1
3629	YNL128w	1
3630	YGL261c	1
3631	YDL211c	1
3632	YFR038w	1
3633	YBR146w	1
3634	YGL091c	1
3635	YBR139w	1
3636	YGR233c	1
3637	YPR108w	1
3638	YBR138c	1
3639	YOR389w	1
3640	YBR134w	1
3641	YDL185w1	1
3642	YGR244c	1
3643	YOL063c	1
3644	YBR129c	1
3645	YOR225w	1
3646	YGR254w	1
3647	YGR259c	1
3648	YOR301w	1
3649	YDL022w	1
3650	YBR125c	1
3651	YBR124w	1
3652	YBR116c	1
3653	YBR113w	1
3654	YDL185w2	1
3655	YGR276c	1
3656	YNL170w	1
3657	YBR110w	1
3658	YFR014c	1
3659	YGR281w	1
3660	YGR283c	1
3661	YGR284c	1
3662	YJL167w	1
3663	YJL172w	1
3664	YGR291c	1
3665	YBR105c	1
3666	YLR194c	1
3667	YKL171w	1
3668	YBR096w	1
3669	YGR062c	1
3670	YFR050c	1
3671	YER041w	1
3672	YKR106w	1
3673	YBR090c	1
3674	YLR046c	1
3675	YBR089w	1
3676	YOR274w	1
3677	YHL009w-a	1
3678	YHR092c	1
3679	YLL031c	1
3680	YBR078w	1
3681	YHL017w	1
3682	YBR069c	1
3683	YOR107w	1
3684	YHL024w	1
3685	YJL063c	1
3686	YMR011w	1
3687	YJL120w	1
3688	YDL198c	1
3689	YHL028w	1
3690	YHL033c	1
3691	YHL034c	1
3692	YHL036w	1
3693	YJL129c	1
3694	YOR372c	1
3695	YKR035c	1
3696	YKR006c	1
3697	YHL046c	1
3698	YHL048w	1
3699	YMR110c	1
3700	YDL209c	1
3701	YPR138c	1
3702	YJL080c	1
3703	YBR065c	1
3704	YHR059w	1
3705	YDL212w	1
3706	YGR277c	1
3707	YLR106c	1
3708	YHR010w	1
3709	YHR011w	1
3710	YHR014w	1
3711	YGR235c	1
3712	YHR015w	1
3713	YHR018c	1
3714	YIL028w	1
3715	YFR032c	1
3716	YEL075w-a	1
3717	YEL075c	1
3718	YEL074w	1
3719	YLR346c	1
3720	YGR219w	1
3721	YBR300c	1
3722	YGR199w	1
3723	YOR273c	1
3724	YFR007w	1
3725	YEL072w	1
3726	YBR056w	1
3727	YLR164w	1
3728	YLR344w	1
3729	YDL218w	1
3730	YPR203w	1
3731	YHR043c	1
3732	YHR049w	1
3733	YDL219w	1
3734	YKR089c	1
3735	YHR053c	1
3736	YDL221w	1
3737	YPL139c	1
3738	YOR345c	1
3739	YKR088c	1
3740	YKR081c	1
3741	YHR067w	1
3742	YDL232w	1
3743	YJL050w	1
3744	YHR070w	1
3745	YHR071w	1
3746	YHR073w	1
3747	YHR074w	1
3748	YHR075c	1
3749	YDL236w	1
3750	YDL241w	1
3751	YHR081w	1
3752	YHR085w	1
3753	YLR356w	1
3754	YHR087w	1
3755	YDL247w	1
3756	YHR091c	1
3757	YDR001c	1
3758	YHR096c	1
3759	YPR082c	1
3760	YBR052c	1
3761	YLR365w	1
3762	YBR046c	1
3763	YHR106w	1
3764	YBR040w	1
3765	YJL010c	1
3766	YML031c-a	1
3767	YJR130c	1
3768	YEL059w	1
3769	YIR021w	1
3770	YJL012c	1
3771	YMR150c	1
3772	YBR039w	1
3773	YKL175w	1
3774	YKR032w	1
3775	YLL054c	1
3776	YLR112w	1
3777	YEL059c-a	1
3778	YEL057c	1
3779	YML131w	1
3780	YDR003w	1
3781	YOL002c	1
3782	YOR175c	1
3783	YDR008c	1
3784	YPL231w	1
3785	YOR215c	1
3786	YHR117w	1
3787	YHR127w	1
3788	YDR208w	1
3789	YJR008w	1
3790	YNL005c	1
3791	YEL052w	1
3792	YIL136w	1
3793	YDR062w	1
3794	YBR035c	1
3795	YHR138c	1
3796	YJL131c	1
3797	YBR028c	1
3798	YDR009w	1
3799	YHR144c	1
3800	YNL207w	1
3801	YLR448w	1
3802	YNL193w	1
3803	YNL220w	1
3804	YLR132c	1
3805	YOR173w	1
3806	YDR010c	1
3807	YBR025c	1
3808	YLR250w	1
3809	YHR159w	1
3810	YKR044w	1
3811	YEL044w	1
3812	snRNA_U5	1
3813	YDR012w	1
3814	YDL032w	1
3815	YHR169w	1
3816	YEL021w	1
3817	YDR020c	1
3818	YNL212w	1
3819	YBR018c	1
3820	YIL091c	1
3821	YML130c	1
3822	YHR175w	1
3823	YJR007w	1
3824	YBR013c	1
3825	YLR157c-a	1
3826	YDR023w	1
3827	YMR282c	1
3828	YLR185w	1
3829	YPL221w	1
3830	YBR012c	1
3831	YBR008c	1
3832	YBR004c	1
3833	YLR348c	1
3834	YEL039c	1
3835	YHR199c	1
3836	YNL095c	1
3837	YHR201c	1
3838	YPR056w	1
3839	YPL258c	1
3840	YDR030c	1
3841	YDR031w	1
3842	YDR417c	1
3843	YHR080c	1
3844	YDR449c	1
3845	YLR145w	1
3846	YEL022w	1
3847	YIL001w	1
3848	YBL113c	1
3849	YBL109w	1
3850	YEL020c	1
3851	YIL011w	1
3852	YMR201c	1
3853	YIL014w	1
3854	YIL016w	1
3855	YMR222c	1
3856	YIL019w	1
3857	YMR258c	1
3858	YIL020c	1
3859	YOL005c	1
3860	YBL107c	1
3861	YHR206w	1
3862	YDR436w	1
3863	YIL024c	1
3864	YOR352w	1
3865	YEL019c	1
3866	YIL030c	1
3867	YLR139c	1
3868	YIL032c	1
3869	YEL018w	1
3870	YER043c	1
3871	YIL042c	1
3872	YFL058w	1
3873	YBL100c	1
3874	YIL047c	1
3875	YIL051c	1
3876	YDR322c-a	1
3877	YIL054w	1
3878	YIL055c	1
3879	YGL098w	1
3880	YLR017w	1
3881	YFR021w	1
3882	YLR439w	1
3883	YMR044w	1
3884	YOR346w	1
3885	YGL125w	1
3886	YGL169w	1
3887	YBL099w	1
3888	YGR295c	1
3889	YOL117w	1
3890	YEL011w	1
3891	YLR421c	1
3892	YBL098w	1
3893	YIL085c	1
3894	YIL086c	1
3895	YIL090w	1
3896	YBL097w	1
3897	YIL094c	1
3898	YIL096c	1
3899	YPL038w	1
3900	YIL098c	1
3901	YIL103w	1
3902	YEL008w	1
3903	YEL006w	1
3904	YLR244c	1
